DateTime,Airport,Airport2,Inbound,Carrier,Delay,Distance
29-12-2008 05:58,JFK,TPA,0,B6,-2,1005
29-12-2008 11:02,JFK,TPA,0,B6,2,1005
29-12-2008 08:05,JFK,TPA,0,B6,0,1005
29-12-2008 18:04,JFK,LAS,1,B6,-21,2248
29-12-2008 19:43,JFK,LAS,1,B6,-17,2248
29-12-2008 08:08,JFK,LAS,1,B6,-17,2248
29-12-2008 06:04,JFK,LAS,1,B6,-29,2248
29-12-2008 15:10,JFK,LGB,1,B6,-17,2465
29-12-2008 17:00,JFK,LGB,1,B6,-4,2465
29-12-2008 21:10,JFK,LGB,1,B6,-21,2465
29-12-2008 05:18,JFK,LGB,1,B6,8,2465
29-12-2008 16:53,ORD,LGB,1,B6,3,1735
29-12-2008 20:36,JFK,MCO,1,B6,167,944
29-12-2008 13:06,JFK,MCO,1,B6,-5,944
29-12-2008 08:24,JFK,MCO,1,B6,-8,944
29-12-2008 09:18,JFK,MCO,1,B6,-9,944
29-12-2008 23:13,JFK,MCO,1,B6,-2,944
29-12-2008 12:24,JFK,MCO,1,B6,-1,944
29-12-2008 15:48,JFK,MCO,1,B6,-31,944
29-12-2008 10:22,JFK,MCO,1,B6,-9,944
29-12-2008 19:54,JFK,MCO,1,B6,-23,944
29-12-2008 22:18,JFK,MCO,1,B6,-4,944
29-12-2008 09:38,JFK,MSY,1,B6,-20,1182
29-12-2008 14:06,JFK,MSY,1,B6,-11,1182
29-12-2008 22:09,JFK,MSY,1,B6,13,1182
29-12-2008 06:10,JFK,OAK,1,B6,-7,2576
29-12-2008 15:24,JFK,OAK,1,B6,-35,2576
29-12-2008 23:09,JFK,OAK,1,B6,55,2576
29-12-2008 18:42,ORD,BOS,0,B6,-13,867
29-12-2008 09:06,JFK,ORD,1,B6,-10,740
29-12-2008 12:32,JFK,ORD,1,B6,-10,740
29-12-2008 14:20,JFK,ORD,1,B6,-22,740
29-12-2008 19:25,JFK,ORD,1,B6,-7,740
29-12-2008 17:38,ORD,LGB,0,B6,-2,1735
29-12-2008 09:44,JFK,PBI,1,B6,-6,1028
29-12-2008 12:19,JFK,PBI,1,B6,11,1028
29-12-2008 23:23,JFK,PBI,1,B6,-7,1028
29-12-2008 17:59,JFK,PBI,1,B6,430,1028
29-12-2008 21:35,JFK,PBI,1,B6,-8,1028
29-12-2008 08:32,JFK,PBI,1,B6,-5,1028
29-12-2008 15:28,JFK,PBI,1,B6,9,1028
29-12-2008 22:56,JFK,PBI,1,B6,25,1028
29-12-2008 17:14,JFK,PBI,1,B6,9,1028
29-12-2008 07:40,JFK,PDX,1,B6,-18,2454
29-12-2008 19:08,JFK,PHX,1,B6,-15,2153
29-12-2008 06:59,JFK,PHX,1,B6,41,2153
29-12-2008 11:43,JFK,PIT,1,B6,-9,340
29-12-2008 19:32,JFK,PIT,1,B6,-1,340
29-12-2008 08:50,JFK,PSE,1,B6,-11,1617
29-12-2008 07:14,JFK,PWM,1,B6,-9,274
29-12-2008 08:31,JFK,PWM,1,B6,-15,274
29-12-2008 15:24,JFK,PWM,1,B6,-10,274
29-12-2008 19:13,JFK,PWM,1,B6,-13,274
29-12-2008 07:49,JFK,RDU,1,B6,-23,426
29-12-2008 11:36,JFK,RDU,1,B6,-9,426
29-12-2008 16:30,JFK,RDU,1,B6,-35,426
29-12-2008 07:12,JFK,RIC,1,B6,-2,288
29-12-2008 11:36,JFK,RIC,1,B6,1,288
29-12-2008 18:37,JFK,RIC,1,B6,-14,288
29-12-2008 20:53,JFK,ROC,1,B6,-6,264
29-12-2008 07:18,JFK,ROC,1,B6,-5,264
29-12-2008 12:45,JFK,ROC,1,B6,-5,264
29-12-2008 08:35,JFK,ROC,1,B6,-14,264
29-12-2008 16:24,JFK,ROC,1,B6,-18,264
29-12-2008 10:35,JFK,RSW,1,B6,-7,1074
29-12-2008 13:46,JFK,RSW,1,B6,-8,1074
29-12-2008 12:27,JFK,RSW,1,B6,-13,1074
29-12-2008 14:58,JFK,RSW,1,B6,-1,1074
29-12-2008 21:29,JFK,RSW,1,B6,74,1074
29-12-2008 22:15,JFK,RSW,1,B6,4,1074
29-12-2008 16:52,JFK,RSW,1,B6,-11,1074
29-12-2008 08:54,JFK,RSW,1,B6,-6,1074
29-12-2008 20:02,JFK,SAN,1,B6,19,2446
29-12-2008 04:43,JFK,SAN,1,B6,-16,2446
29-12-2008 05:47,JFK,SEA,1,B6,-32,2421
29-12-2008 06:49,JFK,SFO,1,B6,-8,2586
29-12-2008 05:39,JFK,SJC,1,B6,-37,2569
29-12-2008 23:45,JFK,SJU,1,B6,-16,1597
29-12-2008 19:17,JFK,SJU,1,B6,19,1597
29-12-2008 10:12,JFK,SJU,1,B6,11,1597
29-12-2008 05:37,JFK,SJU,1,B6,-16,1597
29-12-2008 14:09,JFK,SJU,1,B6,-20,1597
29-12-2008 04:20,JFK,SJU,1,B6,-10,1597
29-12-2008 20:20,JFK,SJU,1,B6,9,1597
29-12-2008 05:14,JFK,SLC,1,B6,-6,1989
29-12-2008 07:43,JFK,SMF,1,B6,-17,2521
29-12-2008 14:44,JFK,SRQ,1,B6,-11,1041
29-12-2008 19:23,JFK,SRQ,1,B6,-2,1041
29-12-2008 10:03,JFK,SYR,1,B6,-18,209
29-12-2008 14:01,JFK,SYR,1,B6,-18,209
29-12-2008 19:53,JFK,SYR,1,B6,33,209
29-12-2008 07:03,JFK,SYR,1,B6,-17,209
29-12-2008 08:57,JFK,TPA,1,B6,17,1005
29-12-2008 14:17,JFK,TPA,1,B6,-9,1005
29-12-2008 21:33,JFK,TPA,1,B6,-6,1005
29-12-2008 10:27,JFK,TPA,1,B6,-3,1005
29-12-2008 17:12,JFK,TPA,1,B6,-15,1005
29-12-2008 12:09,JFK,TPA,1,B6,9,1005
30-12-2008 12:22,JFK,AUS,1,B6,-12,1522
30-12-2008 18:25,JFK,AUS,1,B6,11,1522
30-12-2008 21:42,JFK,AUS,1,B6,4,1522
30-12-2008 07:43,JFK,BOS,1,B6,23,187
30-12-2008 09:21,JFK,BOS,1,B6,6,187
30-12-2008 08:16,JFK,BOS,1,B6,4,187
30-12-2008 11:42,JFK,BOS,1,B6,-7,187
30-12-2008 16:10,JFK,BOS,1,B6,35,187
30-12-2008 10:20,JFK,BOS,1,B6,4,187
30-12-2008 20:04,JFK,BOS,1,B6,84,187
30-12-2008 20:15,JFK,BOS,1,B6,15,187
30-12-2008 09:07,ORD,BOS,1,B6,10,867
30-12-2008 08:38,JFK,BQN,1,B6,-15,1576
30-12-2008 13:57,JFK,BQN,1,B6,-3,1576
30-12-2008 07:27,JFK,BTV,1,B6,9,267
30-12-2008 14:34,JFK,BTV,1,B6,15,267
30-12-2008 12:44,JFK,BTV,1,B6,8,267
30-12-2008 19:05,JFK,BTV,1,B6,-6,267
30-12-2008 09:40,JFK,BUF,1,B6,-5,301
30-12-2008 20:31,JFK,BUF,1,B6,-14,301
30-12-2008 22:49,JFK,BUF,1,B6,13,301
30-12-2008 18:08,JFK,BUF,1,B6,-2,301
30-12-2008 07:10,JFK,BUF,1,B6,-4,301
30-12-2008 16:10,JFK,BUF,1,B6,-20,301
30-12-2008 13:15,JFK,BUF,1,B6,8,301
30-12-2008 10:02,JFK,BUF,1,B6,-8,301
30-12-2008 16:39,JFK,BUR,1,B6,-30,2465
30-12-2008 20:34,JFK,BUR,1,B6,-22,2465
30-12-2008 04:56,JFK,BUR,1,B6,-11,2465
30-12-2008 19:46,JFK,CLT,1,B6,-13,541
30-12-2008 08:27,JFK,CLT,1,B6,11,541
30-12-2008 16:42,JFK,CLT,1,B6,67,541
30-12-2008 05:59,JFK,DEN,1,B6,-26,1626
30-12-2008 17:50,JFK,DEN,1,B6,23,1626
30-12-2008 15:49,JFK,FLL,1,B6,61,1069
30-12-2008 23:47,JFK,FLL,1,B6,227,1069
30-12-2008 16:47,JFK,FLL,1,B6,47,1069
30-12-2008 13:36,JFK,FLL,1,B6,4,1069
30-12-2008 09:52,JFK,FLL,1,B6,-4,1069
30-12-2008 17:39,JFK,FLL,1,B6,28,1069
30-12-2008 22:07,JFK,FLL,1,B6,16,1069
30-12-2008 19:26,JFK,FLL,1,B6,-4,1069
30-12-2008 12:19,JFK,FLL,1,B6,3,1069
30-12-2008 00:09,JFK,FLL,1,B6,-13,1069
30-12-2008 08:41,JFK,FLL,1,B6,-2,1069
30-12-2008 16:30,JFK,HOU,1,B6,0,1428
30-12-2008 20:37,JFK,HOU,1,B6,-30,1428
30-12-2008 07:03,JFK,IAD,1,B6,-12,228
30-12-2008 12:46,JFK,IAD,1,B6,24,228
30-12-2008 16:42,JFK,IAD,1,B6,9,228
30-12-2008 20:53,JFK,IAD,1,B6,-20,228
30-12-2008 08:11,JFK,JAX,1,B6,-19,829
30-12-2008 13:52,JFK,JAX,1,B6,14,829
30-12-2008 18:48,JFK,JAX,1,B6,-10,829
30-12-2008 09:26,JFK,AUS,0,B6,1,1522
30-12-2008 13:19,JFK,AUS,0,B6,19,1522
30-12-2008 20:13,JFK,AUS,0,B6,8,1522
30-12-2008 06:59,JFK,BOS,0,B6,-6,187
30-12-2008 09:41,JFK,BOS,0,B6,1,187
30-12-2008 14:37,JFK,BOS,0,B6,17,187
30-12-2008 16:50,JFK,BOS,0,B6,15,187
30-12-2008 17:20,JFK,BOS,0,B6,0,187
30-12-2008 20:43,JFK,BOS,0,B6,78,187
30-12-2008 23:19,JFK,BOS,0,B6,44,187
30-12-2008 12:34,JFK,BOS,0,B6,24,187
30-12-2008 23:55,JFK,BQN,0,B6,-4,1576
30-12-2008 05:45,JFK,BQN,0,B6,0,1576
30-12-2008 09:12,JFK,BTV,0,B6,-3,267
30-12-2008 10:59,JFK,BTV,0,B6,-1,267
30-12-2008 22:35,JFK,BTV,0,B6,-5,267
30-12-2008 15:23,JFK,BTV,0,B6,-6,267
30-12-2008 14:09,JFK,BUF,0,B6,-6,301
30-12-2008 09:28,JFK,BUF,0,B6,-7,301
30-12-2008 21:28,JFK,BUF,0,B6,33,301
30-12-2008 06:33,JFK,BUF,0,B6,-7,301
30-12-2008 12:40,JFK,BUF,0,B6,-5,301
30-12-2008 22:43,JFK,BUF,0,B6,8,301
30-12-2008 17:20,JFK,BUF,0,B6,36,301
30-12-2008 19:02,JFK,BUF,0,B6,12,301
30-12-2008 08:12,JFK,BUR,0,B6,-3,2465
